"Date","Price","Open","High","Low","Vol.","Change %"
"11-02-2025","130.11","133.00","134.34","129.70","23.64M","-2.93%"
"10-02-2025","134.04","138.10","138.10","133.00","26.12M","-3.09%"
"07-02-2025","138.31","133.30","138.75","132.56","52.95M","4.35%"
"06-02-2025","132.54","134.50","134.87","132.02","22.41M","-1.38%"
"05-02-2025","134.40","133.15","135.39","133.08","16.96M","0.73%"
"04-02-2025","133.42","132.80","134.34","131.87","25.03M","1.21%"
"03-02-2025","131.82","131.29","132.51","127.81","27.77M","-0.86%"
"01-02-2025","132.97","135.00","135.50","130.25","21.17M","-1.23%"
"31-01-2025","134.62","131.12","135.00","129.93","26.69M","2.67%"
"30-01-2025","131.12","130.80","132.15","130.10","25.26M","0.24%"
"29-01-2025","130.80","129.00","131.34","128.55","16.67M","1.69%"
"28-01-2025","128.62","126.37","130.49","124.74","40.37M","1.78%"
"27-01-2025","126.37","129.02","129.45","125.74","24.65M","-2.60%"
"24-01-2025","129.74","130.50","133.20","129.31","37.09M","-0.48%"
"23-01-2025","130.37","127.85","130.75","127.70","20.72M","1.12%"
"22-01-2025","128.92","130.25","130.35","127.12","27.51M","-0.60%"
"21-01-2025","129.70","132.06","132.40","129.25","32.24M","-1.49%"
"20-01-2025","131.66","130.99","132.10","128.91","20.57M","1.06%"
"17-01-2025","130.28","127.90","131.16","127.64","27.42M","1.93%"
"16-01-2025","127.81","128.00","128.47","126.56","22.16M","1.01%"
"15-01-2025","126.53","128.00","128.31","125.78","18.77M","-0.32%"
"14-01-2025","126.93","122.94","127.64","122.94","36.88M","3.25%"
"13-01-2025","122.93","126.00","126.50","122.62","38.97M","-3.53%"
"10-01-2025","127.43","129.93","130.39","126.70","34.86M","-1.92%"
"09-01-2025","129.93","132.00","132.40","129.70","31.90M","-2.04%"
"08-01-2025","132.64","133.93","134.24","131.77","31.57M","-0.55%"
"07-01-2025","133.38","132.78","133.88","132.01","24.24M","0.91%"
"06-01-2025","132.18","138.36","138.39","131.35","44.62M","-4.47%"
"03-01-2025","138.36","138.18","139.73","137.84","23.35M","0.13%"
"02-01-2025","138.18","137.00","138.45","136.40","23.39M","1.05%"
"01-01-2025","136.74","138.10","138.45","136.58","18.17M","-0.95%"
"31-12-2024","138.05","136.87","138.68","136.56","20.08M","0.85%"
"30-12-2024","136.88","138.91","139.25","136.09","32.56M","-1.46%"
"27-12-2024","138.91","140.70","141.75","138.61","19.56M","-1.03%"
"26-12-2024","140.36","140.95","141.15","139.51","23.94M","-0.01%"
"24-12-2024","140.38","141.20","141.50","139.25","25.88M","-0.94%"
"23-12-2024","141.71","142.45","143.80","140.61","27.51M","0.73%"
"20-12-2024","140.68","142.89","144.40","140.00","46.50M","-1.80%"
"19-12-2024","143.26","141.55","143.80","141.10","27.10M","-0.83%"
"18-12-2024","144.46","146.00","146.90","143.30","19.85M","-0.84%"
"17-12-2024","145.68","147.79","148.50","145.33","27.11M","-1.43%"
"16-12-2024","147.79","148.94","149.80","147.10","22.63M","-0.78%"
"13-12-2024","148.95","150.00","150.05","145.55","39.70M","-1.21%"
"12-12-2024","150.78","150.87","151.63","148.70","25.76M","0.12%"
"11-12-2024","150.60","150.59","152.11","150.06","20.50M","0.19%"
"10-12-2024","150.32","150.19","152.50","149.31","36.28M","0.29%"
"09-12-2024","149.88","148.29","150.67","146.63","39.06M","1.07%"
"06-12-2024","148.29","147.50","148.68","146.60","30.60M","0.83%"
"05-12-2024","147.07","146.50","147.88","144.80","36.33M","0.84%"
"04-12-2024","145.85","147.00","147.05","144.00","38.54M","-0.47%"
"03-12-2024","146.54","146.75","148.20","146.34","35.53M","0.09%"
"02-12-2024","146.41","144.11","146.83","143.14","23.84M","1.29%"
"29-11-2024","144.54","143.90","145.49","143.05","29.74M","0.80%"
"28-11-2024","143.39","144.00","145.25","143.09","30.95M","-0.79%"
"27-11-2024","144.53","144.31","144.90","142.90","24.90M","0.04%"
"26-11-2024","144.47","144.22","145.80","143.58","25.61M","0.56%"
"25-11-2024","143.67","144.94","146.15","142.84","53.88M","0.62%"
"22-11-2024","142.78","140.15","143.19","139.65","43.71M","1.83%"
"21-11-2024","140.22","139.50","141.60","137.25","58.40M","0.54%"
"19-11-2024","139.46","142.00","142.49","139.06","37.61M","-1.24%"
"18-11-2024","141.21","139.49","143.25","138.00","40.23M","2.34%"
"14-11-2024","137.98","139.71","140.73","137.50","36.35M","-0.86%"
"13-11-2024","139.17","143.60","143.60","138.60","57.61M","-3.47%"
"12-11-2024","144.17","145.65","147.13","143.60","28.86M","-0.58%"
"11-11-2024","145.01","147.57","147.69","144.10","47.50M","-1.73%"
"08-11-2024","147.57","152.00","152.00","146.94","61.98M","-2.24%"
"07-11-2024","150.95","156.11","156.92","150.20","88.25M","-1.74%"
"06-11-2024","153.62","154.00","154.95","149.59","48.93M","0.87%"
"05-11-2024","152.29","147.00","152.55","146.95","42.77M","3.63%"
"04-11-2024","146.95","150.00","150.00","145.10","25.57M","-1.87%"
"01-11-2024","149.75","149.66","150.25","149.00","5.11M","0.80%"
"31-10-2024","148.56","149.08","149.95","148.20","26.38M","-0.28%"
"30-10-2024","148.97","148.10","150.95","148.10","21.36M","-0.73%"
"29-10-2024","150.06","149.85","150.45","146.55","32.26M","0.46%"
"28-10-2024","149.38","146.00","149.73","144.73","28.39M","2.41%"
"25-10-2024","145.86","149.00","149.50","144.43","39.73M","-2.09%"
"24-10-2024","148.98","149.49","149.83","148.01","22.12M","0.13%"
"23-10-2024","148.78","150.30","151.95","148.05","42.11M","-1.07%"
"22-10-2024","150.39","154.90","154.90","150.10","39.08M","-2.99%"
"21-10-2024","155.03","156.10","157.93","154.59","25.80M","-0.23%"
"18-10-2024","155.39","152.40","156.20","151.10","34.75M","1.96%"
"17-10-2024","152.40","155.65","156.30","152.10","28.40M","-1.83%"
"16-10-2024","155.24","155.19","156.55","154.02","28.52M","-0.25%"
"15-10-2024","155.63","159.50","159.53","155.05","38.96M","-1.70%"
"14-10-2024","158.32","161.88","163.38","158.04","35.57M","-1.46%"
"11-10-2024","160.66","159.30","163.78","159.20","53.26M","0.59%"
"10-10-2024","159.72","158.30","161.18","156.60","46.51M","0.41%"
"09-10-2024","159.06","159.52","162.20","158.11","42.77M","-0.29%"
"08-10-2024","159.52","163.00","163.59","156.70","74.96M","-2.94%"
"07-10-2024","164.36","167.10","167.95","162.33","48.78M","-1.43%"
"04-10-2024","166.75","167.00","169.10","164.00","53.88M","-0.14%"
"03-10-2024","166.98","165.50","169.99","164.52","75.96M","-0.03%"
"01-10-2024","167.03","169.49","169.49","165.10","50.76M","-0.90%"
"30-09-2024","168.55","167.50","170.18","167.26","92.38M","1.20%"
"27-09-2024","166.55","167.00","169.01","165.89","72.80M","0.57%"
"26-09-2024","165.61","162.00","165.90","160.48","88.66M","2.44%"
"25-09-2024","161.66","161.50","162.69","159.52","58.04M","0.70%"
"24-09-2024","160.53","155.15","161.50","154.85","137.41M","4.25%"
"23-09-2024","153.99","154.38","154.39","152.80","33.28M","1.30%"
"20-09-2024","152.02","151.00","153.34","150.65","53.87M","1.66%"
"19-09-2024","149.54","151.89","152.19","147.79","36.91M","-0.70%"
"18-09-2024","150.60","152.40","152.98","149.61","24.86M","-1.45%"
"17-09-2024","152.82","154.00","154.24","152.27","18.28M","-0.90%"
"16-09-2024","154.21","155.00","155.66","153.50","32.58M","0.47%"
"13-09-2024","153.49","152.78","155.40","152.50","54.89M","1.15%"
"12-09-2024","151.74","152.00","152.44","148.75","73.19M","2.41%"
"11-09-2024","148.17","149.90","150.20","147.62","24.63M","-0.84%"
"10-09-2024","149.42","150.50","151.59","148.81","41.61M","-0.03%"
"09-09-2024","149.47","150.90","150.90","148.05","32.62M","-1.16%"
"06-09-2024","151.22","151.94","152.90","149.65","30.71M","-0.33%"
"05-09-2024","151.72","151.00","152.79","151.00","28.35M","0.36%"
"04-09-2024","151.18","149.50","152.18","149.16","39.61M","-0.64%"
"03-09-2024","152.15","152.84","153.45","152.01","19.78M","-0.48%"
"02-09-2024","152.88","153.90","153.90","152.14","19.20M","0.08%"
"30-08-2024","152.76","153.00","155.25","152.47","55.13M","-0.14%"
"29-08-2024","152.97","153.21","153.56","151.20","44.45M","-0.47%"
"28-08-2024","153.70","154.70","155.00","153.05","25.20M","-0.65%"
"27-08-2024","154.70","155.80","156.50","154.60","24.52M","-0.64%"
"26-08-2024","155.70","154.61","156.40","153.70","32.50M","0.97%"
"23-08-2024","154.20","154.00","154.39","152.55","31.49M","0.04%"
"22-08-2024","154.14","152.51","154.35","152.51","36.72M","1.46%"
"21-08-2024","151.92","153.00","154.18","151.77","49.75M","-1.31%"
"20-08-2024","153.93","155.70","155.70","152.80","37.56M","-0.02%"
"19-08-2024","153.96","150.85","154.30","150.39","62.89M","2.97%"
"16-08-2024","149.52","148.00","150.00","146.46","54.13M","2.29%"
"14-08-2024","146.17","149.90","149.90","142.35","97.91M","-1.82%"
"13-08-2024","148.88","152.10","152.95","148.50","29.40M","-2.09%"
"12-08-2024","152.06","151.00","153.40","149.88","30.55M","0.16%"
"09-08-2024","151.81","153.00","153.00","151.25","23.29M","1.02%"
"08-08-2024","150.28","153.40","153.44","150.00","51.86M","-2.33%"
"07-08-2024","153.86","153.70","154.30","151.90","32.03M","2.35%"
"06-08-2024","150.32","151.21","153.80","149.61","53.51M","0.33%"
"05-08-2024","149.82","153.66","154.00","149.00","102.88M","-5.31%"
"02-08-2024","158.22","161.00","161.19","154.72","72.43M","-2.97%"
"01-08-2024","163.06","168.20","168.95","160.90","118.34M","-1.37%"
"31-07-2024","165.33","166.29","166.50","163.55","52.77M","0.77%"
"30-07-2024","164.07","162.90","165.30","161.31","42.82M","0.74%"
"29-07-2024","162.87","164.70","164.70","162.33","31.75M","0.20%"
"26-07-2024","162.55","158.75","162.95","158.21","45.64M","3.28%"
"25-07-2024","157.39","158.50","158.50","156.90","45.16M","-1.82%"
"24-07-2024","160.31","160.02","162.02","159.19","28.09M","0.18%"
"23-07-2024","160.02","161.60","161.97","155.00","37.08M","-0.19%"
"22-07-2024","160.32","158.40","160.70","156.41","40.35M","1.62%"
"19-07-2024","157.77","166.00","166.09","157.20","77.99M","-5.16%"
"18-07-2024","166.36","167.61","167.61","164.44","36.57M","-0.42%"
"16-07-2024","167.07","167.80","169.82","166.70","26.51M","0.19%"
"15-07-2024","166.76","168.69","168.99","165.80","32.64M","-1.14%"
"12-07-2024","168.69","170.20","170.39","168.01","33.31M","-0.14%"
"11-07-2024","168.92","170.00","170.95","168.67","33.99M","0.56%"
"10-07-2024","167.98","172.50","172.89","167.02","41.53M","-2.22%"
"09-07-2024","171.80","173.60","173.70","171.51","25.13M","-0.28%"
"08-07-2024","172.28","174.60","175.47","172.09","31.48M","-1.39%"
"05-07-2024","174.71","176.20","176.20","173.40","38.12M","-0.90%"
"04-07-2024","176.29","177.00","178.19","175.82","29.50M","-0.05%"
"03-07-2024","176.37","174.54","176.88","174.40","29.09M","1.05%"
"02-07-2024","174.54","174.47","175.75","173.60","33.36M","0.27%"
"01-07-2024","174.07","174.50","175.99","173.51","27.81M","0.03%"
"28-06-2024","174.01","174.17","177.10","173.57","37.52M","-0.09%"
"27-06-2024","174.16","172.56","174.95","171.80","49.77M","0.93%"
"26-06-2024","172.56","175.68","176.00","171.84","44.01M","-1.78%"
"25-06-2024","175.68","177.99","179.00","175.25","30.60M","-1.28%"
"24-06-2024","177.96","177.44","178.95","175.10","47.60M","-1.10%"
"21-06-2024","179.94","179.40","180.90","178.18","65.49M","-1.28%"
"20-06-2024","182.28","181.60","182.95","179.37","38.84M","1.26%"
"19-06-2024","180.02","182.45","182.49","179.31","27.48M","-0.61%"
"18-06-2024","181.12","183.80","184.60","180.60","35.03M","-1.11%"
"14-06-2024","183.15","182.95","183.50","181.40","28.51M","0.32%"
"13-06-2024","182.56","183.40","184.10","180.51","36.67M","0.18%"
"12-06-2024","182.23","182.25","183.87","181.50","33.30M","0.50%"
"11-06-2024","181.33","180.50","183.75","180.50","55.56M","0.58%"
"10-06-2024","180.29","180.21","182.10","177.36","74.29M","0.78%"
"07-06-2024","178.90","172.00","179.65","170.80","84.32M","3.98%"
"06-06-2024","172.05","170.00","174.70","169.40","57.92M","1.68%"
"05-06-2024","169.20","162.15","169.60","159.00","60.10M","6.45%"
"04-06-2024","158.95","174.50","174.65","148.15","125.04M","-8.78%"
"03-06-2024","174.25","173.25","175.00","168.85","86.40M","4.22%"
"31-05-2024","167.20","166.05","167.95","164.00","83.71M","1.86%"
"30-05-2024","164.15","172.00","172.00","163.35","108.81M","-5.80%"
"29-05-2024","174.25","174.75","176.00","173.50","36.58M","-0.37%"
"28-05-2024","174.90","175.90","177.50","173.45","39.21M","-0.34%"
"27-05-2024","175.50","177.70","177.70","174.85","30.41M","0.37%"
"24-05-2024","174.85","174.95","177.55","174.15","38.67M","-0.37%"
"23-05-2024","175.50","173.05","175.80","170.50","49.38M","1.27%"
"22-05-2024","173.30","175.45","175.50","171.50","42.92M","-0.60%"
"21-05-2024","174.35","168.50","175.20","167.95","84.83M","3.84%"
"18-05-2024","167.90","168.00","168.30","167.30","3.60M","0.33%"
"17-05-2024","167.35","166.60","168.45","165.45","39.18M","0.87%"
"16-05-2024","165.90","167.25","168.00","162.30","41.13M","0.18%"
"15-05-2024","165.60","164.95","167.55","164.95","29.60M","0.39%"
"14-05-2024","164.95","164.10","166.55","163.50","46.26M","0.67%"
"13-05-2024","163.85","162.45","164.50","158.05","36.56M","0.99%"
"10-05-2024","162.25","163.20","164.35","161.85","31.47M","0.22%"
"09-05-2024","161.90","165.95","166.70","161.50","30.22M","-2.50%"
"08-05-2024","166.05","164.20","167.10","163.50","30.13M","1.10%"
"07-05-2024","164.25","167.95","167.95","162.30","43.61M","-2.00%"
"06-05-2024","167.60","167.95","168.65","164.70","37.62M","0.66%"
"03-05-2024","166.50","168.95","170.75","165.15","62.57M","-0.51%"
"02-05-2024","167.35","165.00","168.90","165.00","69.32M","1.42%"
"30-04-2024","165.00","168.40","168.40","164.50","55.04M","-1.43%"
"29-04-2024","167.40","168.20","169.60","166.90","44.91M","0.97%"
"26-04-2024","165.80","168.00","170.70","165.25","65.36M","-1.13%"
"25-04-2024","167.70","165.40","168.00","164.15","50.13M","1.30%"
"24-04-2024","165.55","162.45","166.90","161.45","59.89M","2.73%"
"23-04-2024","161.15","163.50","163.50","160.80","30.30M","-0.43%"
"22-04-2024","161.85","163.80","164.70","161.50","39.30M","-0.15%"
"19-04-2024","162.10","160.00","162.50","157.30","60.08M","1.28%"
"18-04-2024","160.05","160.90","164.00","159.15","68.09M","0.00%"
"16-04-2024","160.05","160.85","162.45","159.00","41.39M","-0.50%"
"15-04-2024","160.85","161.80","164.70","158.60","66.43M","-1.62%"
"12-04-2024","163.50","166.00","166.00","163.00","55.32M","-0.94%"
"10-04-2024","165.05","167.30","169.20","164.50","64.13M","-0.57%"
"09-04-2024","166.00","166.00","169.80","165.20","63.88M","0.48%"
"08-04-2024","165.20","166.95","166.95","164.20","48.26M","1.13%"
"05-04-2024","163.35","163.90","164.15","160.80","44.67M","-0.03%"
"04-04-2024","163.40","165.55","165.95","161.00","61.09M","-0.15%"
"03-04-2024","163.65","164.65","166.25","163.10","50.94M","-0.61%"
"02-04-2024","164.65","162.95","165.50","161.80","69.53M","0.92%"
"01-04-2024","163.15","156.80","163.90","156.50","84.58M","4.68%"
"28-03-2024","155.85","152.70","157.00","152.70","62.58M","2.06%"
"27-03-2024","152.70","152.45","154.10","152.00","35.33M","0.20%"
"26-03-2024","152.40","151.15","153.40","150.50","52.97M","0.40%"
"22-03-2024","151.80","149.00","152.75","148.35","68.24M","1.13%"
"21-03-2024","150.10","148.00","151.20","147.80","84.23M","3.06%"
"20-03-2024","145.65","149.60","150.65","143.85","77.55M","-2.08%"
"19-03-2024","148.75","149.00","152.45","147.60","105.00M","-0.63%"
"18-03-2024","149.70","142.55","150.25","142.20","166.91M","5.65%"
"15-03-2024","141.70","142.90","143.70","139.85","68.48M","-0.53%"
"14-03-2024","142.45","143.60","143.95","138.35","91.96M","-0.84%"
"13-03-2024","143.65","152.80","152.90","142.50","70.94M","-5.80%"
"12-03-2024","152.50","154.20","154.55","150.90","34.95M","-0.62%"
"11-03-2024","153.45","158.90","158.90","153.00","54.16M","-2.42%"
"07-03-2024","157.25","152.40","159.15","152.25","124.85M","3.73%"
"06-03-2024","151.60","151.80","152.65","147.90","51.78M","-0.16%"
"05-03-2024","151.85","153.20","154.00","150.75","37.17M","-0.82%"
"04-03-2024","153.10","154.90","154.90","151.05","67.58M","-1.38%"
"02-03-2024","155.25","152.60","156.15","151.10","21.64M","3.53%"
"01-03-2024","149.95","143.00","150.65","143.00","123.71M","6.46%"
"29-02-2024","140.85","140.80","141.85","139.40","32.25M","0.07%"
"28-02-2024","140.75","144.05","144.95","140.05","20.72M","-2.39%"
"27-02-2024","144.20","142.65","144.50","142.00","24.12M","1.09%"
"26-02-2024","142.65","145.85","145.95","142.25","22.57M","-1.93%"
"23-02-2024","145.45","146.40","147.10","145.00","28.41M","-0.31%"
"22-02-2024","145.90","145.00","146.15","143.50","46.73M","1.39%"
"21-02-2024","143.90","141.55","146.20","141.45","88.00M","2.02%"
"20-02-2024","141.05","141.95","142.25","140.05","24.29M","-0.63%"
"19-02-2024","141.95","142.95","143.35","141.35","16.97M","-0.25%"
"16-02-2024","142.30","142.05","143.45","141.50","22.32M","0.78%"
"15-02-2024","141.20","141.50","143.45","141.00","31.59M","0.00%"
"14-02-2024","141.20","137.00","141.50","135.75","29.14M","2.43%"
"13-02-2024","137.85","137.75","138.25","134.10","39.16M","0.33%"
"12-02-2024","137.40","142.00","142.95","136.65","36.48M","-2.76%"
"09-02-2024","141.30","144.20","144.45","139.15","35.96M","-1.64%"
"08-02-2024","143.65","145.30","145.65","143.05","39.00M","-0.52%"
"07-02-2024","144.40","146.85","147.40","144.05","61.52M","-0.17%"
"06-02-2024","144.65","143.00","145.10","140.45","53.19M","2.19%"
"05-02-2024","141.55","140.00","143.35","139.35","80.74M","2.05%"
"02-02-2024","138.70","135.30","139.60","134.80","69.30M","2.89%"
"01-02-2024","134.80","136.40","136.75","134.50","31.70M","-0.85%"
"31-01-2024","135.95","135.00","136.70","134.50","36.08M","0.93%"
"30-01-2024","134.70","135.60","137.70","134.50","35.70M","-0.22%"
"29-01-2024","135.00","134.70","135.40","133.50","29.75M","0.93%"
"25-01-2024","133.75","136.50","136.50","132.00","61.36M","-1.04%"
"24-01-2024","135.15","130.20","135.55","130.10","39.34M","3.88%"
"23-01-2024","130.10","134.80","135.20","129.30","35.37M","-2.87%"
"20-01-2024","133.95","134.25","135.20","133.30","16.58M","-0.22%"
"19-01-2024","134.25","132.60","134.70","131.60","32.65M","2.48%"
"18-01-2024","131.00","131.65","132.25","128.20","45.27M","-0.49%"
"17-01-2024","131.65","135.45","135.75","131.40","58.98M","-4.08%"
"16-01-2024","137.25","134.70","138.50","134.00","56.36M","1.74%"
"15-01-2024","134.90","136.00","136.25","133.95","34.16M","-0.30%"
"12-01-2024","135.30","135.80","136.25","134.65","32.88M","0.30%"
"11-01-2024","134.90","134.85","135.65","134.20","23.11M","0.60%"
"10-01-2024","134.10","133.80","134.70","132.10","27.21M","0.34%"
"09-01-2024","133.65","133.50","134.80","132.50","30.74M","1.25%"
"08-01-2024","132.00","135.30","135.95","131.75","39.56M","-1.23%"
"05-01-2024","133.65","135.00","135.95","132.85","71.33M","-0.45%"
"04-01-2024","134.25","136.00","136.35","134.00","43.91M","-0.81%"
"03-01-2024","135.35","139.50","139.60","134.35","45.18M","-3.04%"
"02-01-2024","139.60","140.50","140.60","137.05","27.76M","-0.18%"
"01-01-2024","139.85","140.00","140.95","139.05","21.19M","0.18%"
"29-12-2023","139.60","138.60","141.25","137.15","49.20M","1.05%"
"28-12-2023","138.15","138.15","138.75","136.85","34.66M","0.69%"
"27-12-2023","137.20","135.85","138.90","135.50","48.10M","1.48%"
"26-12-2023","135.20","134.70","136.10","134.45","25.94M","1.24%"
"22-12-2023","133.55","132.40","134.75","131.75","37.36M","1.95%"
"21-12-2023","131.00","128.70","131.45","127.85","34.91M","0.96%"
"20-12-2023","129.75","135.90","136.15","128.75","39.50M","-4.17%"
"19-12-2023","135.40","136.65","137.60","134.80","27.73M","-0.88%"
"18-12-2023","136.60","136.85","137.60","135.10","38.46M","0.11%"
"15-12-2023","136.45","133.40","136.75","133.00","77.38M","3.37%"
"14-12-2023","132.00","132.30","133.25","131.50","43.37M","0.46%"
"13-12-2023","131.40","130.55","131.50","129.15","22.77M","1.00%"
"12-12-2023","130.10","130.05","132.15","129.70","30.70M","0.04%"
"11-12-2023","130.05","129.85","130.50","128.75","24.04M","0.66%"
"08-12-2023","129.20","130.15","131.40","127.95","34.39M","-0.62%"
"07-12-2023","130.00","131.70","132.20","129.80","34.69M","-1.40%"
"06-12-2023","131.85","132.50","133.40","130.80","40.75M","0.19%"
"05-12-2023","131.60","131.00","132.45","130.00","35.19M","0.46%"
"04-12-2023","131.00","132.20","132.35","130.40","41.23M","0.77%"
"01-12-2023","130.00","128.90","130.30","128.05","31.19M","1.64%"
"30-11-2023","127.90","127.80","128.85","126.50","40.17M","0.12%"
"29-11-2023","127.75","127.15","128.15","126.70","23.09M","0.71%"
"28-11-2023","126.85","127.00","127.00","126.00","18.38M","0.71%"
"24-11-2023","125.95","126.70","127.00","125.55","14.72M","-0.59%"
"23-11-2023","126.70","126.35","127.40","125.90","30.74M","0.48%"
"22-11-2023","126.10","126.40","126.90","125.50","19.59M","-0.12%"
"21-11-2023","126.25","125.05","126.40","124.95","29.64M","1.53%"
"20-11-2023","124.35","125.05","125.65","124.05","18.78M","-0.68%"
"17-11-2023","125.20","124.70","125.75","124.30","23.32M","0.40%"
"16-11-2023","124.70","124.00","125.25","123.00","30.84M","0.52%"
"15-11-2023","124.05","121.70","124.40","121.50","38.34M","2.52%"
"13-11-2023","121.00","120.85","121.25","119.90","17.95M","0.12%"
"12-11-2023","120.85","121.60","121.60","120.60","3.97M","0.67%"
"10-11-2023","120.05","119.50","120.45","118.80","23.58M","0.33%"
"09-11-2023","119.65","119.20","120.50","118.85","22.98M","0.50%"
"08-11-2023","119.05","119.75","120.50","118.55","22.55M","-0.50%"
"07-11-2023","119.65","119.30","120.20","118.40","25.82M","0.21%"
"06-11-2023","119.40","118.50","119.65","117.50","27.88M","1.79%"
"03-11-2023","117.30","118.20","118.60","117.10","31.75M","-0.68%"
"02-11-2023","118.10","114.60","118.55","114.60","72.54M","1.29%"
"01-11-2023","116.60","119.00","119.10","116.00","24.72M","-1.81%"
"31-10-2023","118.75","120.00","120.15","118.40","22.32M","-0.34%"
"30-10-2023","119.15","121.05","121.25","118.95","18.75M","-0.63%"
"27-10-2023","119.90","120.50","121.80","119.50","28.42M","0.00%"
"26-10-2023","119.90","120.85","120.90","118.90","36.30M","-1.19%"
"25-10-2023","121.35","121.20","122.80","120.75","27.35M","1.12%"
"23-10-2023","120.00","123.35","123.40","119.70","30.70M","-2.52%"
"20-10-2023","123.10","125.00","125.75","122.70","30.75M","-2.30%"
"19-10-2023","126.00","125.50","126.50","124.35","30.94M","-0.87%"
"18-10-2023","127.10","127.85","128.70","126.60","20.93M","-0.24%"
"17-10-2023","127.40","127.90","128.55","127.00","24.24M","0.31%"
"16-10-2023","127.00","125.10","127.25","124.95","23.87M","1.56%"
